structureId	chainId	macromoleculeType	chainLength	experimentalTechnique	resolution	scopDomain	pfam	ligandId	ligandName	source	structureTitle	citation	rObserved	rFree	rWork	spaceGroup
4U0R	C	Protein	238	X-ray	2.3	automated matches	NA	NA	NA	Mus musculus	Plasmodium falciparum reticulocyte-binding protein homologue 5 (PfRH5) bound to monoclonal antibody 9AD4	Wright, K.E., et al. Nature (2014)	0.2229	0.2583	0.221	P 21 21 21
4U0R	B	Protein	258	X-ray	2.3	automated matches	NA	NA	NA	Mus musculus	Plasmodium falciparum reticulocyte-binding protein homologue 5 (PfRH5) bound to monoclonal antibody 9AD4	Wright, K.E., et al. Nature (2014)	0.2229	0.2583	0.221	P 21 21 21
4U0R	A	Protein	526	X-ray	2.3	NA	NA	NA	NA	Plasmodium falciparum	Plasmodium falciparum reticulocyte-binding protein homologue 5 (PfRH5) bound to monoclonal antibody 9AD4	Wright, K.E., et al. Nature (2014)	0.2229	0.2583	0.221	P 21 21 21
4WEB	L	Protein	240	X-ray	2.4	automated matches	NA	ARF (2)	FORMAMIDE (2)	Mus musculus	Structure of the core ectodomain of the hepatitis C virus envelope glycoprotein 2	Khan, A.G., et al. Nature (2014)	0.2038	0.2587	0.1988	P 21 21 2
4WEB	H	Protein	467	X-ray	2.4	NA	NA	ARF (3)	FORMAMIDE (3)	Mus musculus	Structure of the core ectodomain of the hepatitis C virus envelope glycoprotein 2	Khan, A.G., et al. Nature (2014)	0.2038	0.2587	0.1988	P 21 21 2
4WEB	E	Protein	217	X-ray	2.4	NA	NA	NAG (2),ARF	2-acetamido-2-deoxy-beta-D-glucopyranose (2),FORMAMIDE	Hepatitis C virus subtype 2a	Structure of the core ectodomain of the hepatitis C virus envelope glycoprotein 2	Khan, A.G., et al. Nature (2014)	0.2038	0.2587	0.1988	P 21 21 2
5AWN	L	Protein	216	X-ray	1.887	automated matches	NA	NA	NA	Homo sapiens	Crystal structure of Human anti-HIV-1 broadly neutralizing antibody 3BC176 Fab	Lee, J.H., et al. Nat Commun (2015)	0.1797	0.223	0.1771	P 1 21 1
5AWN	H	Protein	232	X-ray	1.887	automated matches	NA	NA	NA	Homo sapiens	Crystal structure of Human anti-HIV-1 broadly neutralizing antibody 3BC176 Fab	Lee, J.H., et al. Nat Commun (2015)	0.1797	0.223	0.1771	P 1 21 1
5BK0	E	Protein	20	X-ray	3.15	NA	NA	NA	NA	Plasmodium falciparum	Crystal structure of 663 Fab bound to circumsporozoite protein NANP 5-mer	Triller, G., et al. Immunity (2017)	0.2365	0.2735	0.2345	C 1 2 1
5BK0	D	Protein	222	X-ray	3.15	NA	NA	GOL	GLYCEROL	Homo sapiens	Crystal structure of 663 Fab bound to circumsporozoite protein NANP 5-mer	Triller, G., et al. Immunity (2017)	0.2365	0.2735	0.2345	C 1 2 1
5BK0	B	Protein	222	X-ray	3.15	NA	NA	GOL	GLYCEROL	Homo sapiens	Crystal structure of 663 Fab bound to circumsporozoite protein NANP 5-mer	Triller, G., et al. Immunity (2017)	0.2365	0.2735	0.2345	C 1 2 1
5BK0	C	Protein	217	X-ray	3.15	NA	NA	NA	NA	Homo sapiens	Crystal structure of 663 Fab bound to circumsporozoite protein NANP 5-mer	Triller, G., et al. Immunity (2017)	0.2365	0.2735	0.2345	C 1 2 1
5BK0	A	Protein	217	X-ray	3.15	NA	NA	NA	NA	Homo sapiens	Crystal structure of 663 Fab bound to circumsporozoite protein NANP 5-mer	Triller, G., et al. Immunity (2017)	0.2365	0.2735	0.2345	C 1 2 1
5C6T	L	Protein	214	X-ray	3.6	NA	NA	NA	NA	Homo sapiens	Crystal structure of HCMV glycoprotein B in complex with 1G2 Fab	Chandramouli, S., et al. Nat Commun (2015)	0.2141	0.2603	0.2116	P 21 3
5C6T	H	Protein	233	X-ray	3.6	NA	NA	NA	NA	Homo sapiens	Crystal structure of HCMV glycoprotein B in complex with 1G2 Fab	Chandramouli, S., et al. Nat Commun (2015)	0.2141	0.2603	0.2116	P 21 3
5C6T	A	Protein	636	X-ray	3.6	NA	Herpesvirus Glycoprotein B (Glycoprot_B_PH1)	NAG (8),MG	2-acetamido-2-deoxy-beta-D-glucopyranose (8),MAGNESIUM ION	Human herpesvirus 5 strain Towne	Crystal structure of HCMV glycoprotein B in complex with 1G2 Fab	Chandramouli, S., et al. Nat Commun (2015)	0.2141	0.2603	0.2116	P 21 3
5CEX	D	Protein	236	X-ray	2.105	automated matches	NA	NA	NA	Homo sapiens	Crystal Structure of Fab 32H+109L, a putative precursor of the PGT121 family of potent HIV-1 antibodies	Garces, F., et al. Immunity (2015)	0.2023	0.2439	0.2	P 1 21 1
5CEX	B	Protein	236	X-ray	2.105	automated matches	NA	GOL,P6G	GLYCEROL,HEXAETHYLENE GLYCOL	Homo sapiens	Crystal Structure of Fab 32H+109L, a putative precursor of the PGT121 family of potent HIV-1 antibodies	Garces, F., et al. Immunity (2015)	0.2023	0.2439	0.2	P 1 21 1
5CEX	C	Protein	218	X-ray	2.105	automated matches	NA	PG4 (2),GOL (3),P6G,PGE	TETRAETHYLENE GLYCOL (2),GLYCEROL (3),HEXAETHYLENE GLYCOL,TRIETHYLENE GLYCOL	Homo sapiens	Crystal Structure of Fab 32H+109L, a putative precursor of the PGT121 family of potent HIV-1 antibodies	Garces, F., et al. Immunity (2015)	0.2023	0.2439	0.2	P 1 21 1
5CEX	A	Protein	218	X-ray	2.105	automated matches	NA	PG4	TETRAETHYLENE GLYCOL	Homo sapiens	Crystal Structure of Fab 32H+109L, a putative precursor of the PGT121 family of potent HIV-1 antibodies	Garces, F., et al. Immunity (2015)	0.2023	0.2439	0.2	P 1 21 1
5FGB	G	Protein	21	X-ray	1.65	NA	NA	NA	NA	Hepatitis C virus (isolate H)	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC33.4	Keck, Z.Y., et al. J Virol (2016)	0.172	0.1895	0.1711	P 1 21 1
5FGB	F	Protein	21	X-ray	1.65	NA	NA	NA	NA	Hepatitis C virus (isolate H)	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC33.4	Keck, Z.Y., et al. J Virol (2016)	0.172	0.1895	0.1711	P 1 21 1
5FGB	E	Protein	269	X-ray	1.65	NA	NA	GOL	GLYCEROL	Homo sapiens	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC33.4	Keck, Z.Y., et al. J Virol (2016)	0.172	0.1895	0.1711	P 1 21 1
5FGB	C	Protein	269	X-ray	1.65	NA	NA	GOL,SO4 (2)	GLYCEROL,SULFATE ION (2)	Homo sapiens	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC33.4	Keck, Z.Y., et al. J Virol (2016)	0.172	0.1895	0.1711	P 1 21 1
5FGB	B	Protein	216	X-ray	1.65	NA	NA	GOL,SO4 (2)	GLYCEROL,SULFATE ION (2)	Homo sapiens	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC33.4	Keck, Z.Y., et al. J Virol (2016)	0.172	0.1895	0.1711	P 1 21 1
5FGB	A	Protein	216	X-ray	1.65	NA	NA	GOL,SO4 (3)	GLYCEROL,SULFATE ION (3)	Homo sapiens	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC33.4	Keck, Z.Y., et al. J Virol (2016)	0.172	0.1895	0.1711	P 1 21 1
5FGC	E	Protein	269	X-ray	1.9	NA	NA	NA	NA	Homo sapiens	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC33.8	Keck, Z.Y., et al. J Virol (2016)	0.1962	0.2363	0.194	P 1 2 1
5FGC	B	Protein	216	X-ray	1.9	NA	NA	NA	NA	Homo sapiens	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC33.8	Keck, Z.Y., et al. J Virol (2016)	0.1962	0.2363	0.194	P 1 2 1
5FGC	A	Protein	21	X-ray	1.9	NA	NA	NA	NA	Hepatitis C virus (isolate H)	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC33.8	Keck, Z.Y., et al. J Virol (2016)	0.1962	0.2363	0.194	P 1 2 1
5OTJ	C	Protein	110	X-ray	2.35	NA	NA	CA (2)	CALCIUM ION (2)	Phleum pratense	Monomeric polcalcin (Phl p 7) in complex with two identical allergen-specific antibodies	Mitropoulou, A.N., et al. Proc Natl Acad Sci U S A (2018)	0.2008	0.2345	0.1994	P 1 21 1
5OTJ	D	Protein	110	X-ray	2.35	NA	NA	EDO,CA (2)	1,2-ETHANEDIOL,CALCIUM ION (2)	Phleum pratense	Monomeric polcalcin (Phl p 7) in complex with two identical allergen-specific antibodies	Mitropoulou, A.N., et al. Proc Natl Acad Sci U S A (2018)	0.2008	0.2345	0.1994	P 1 21 1
5OTJ	B	Protein	230	X-ray	2.35	automated matches	NA	NA	NA	Homo sapiens	Monomeric polcalcin (Phl p 7) in complex with two identical allergen-specific antibodies	Mitropoulou, A.N., et al. Proc Natl Acad Sci U S A (2018)	0.2008	0.2345	0.1994	P 1 21 1
5OTJ	H	Protein	230	X-ray	2.35	automated matches	NA	EDO	1,2-ETHANEDIOL	Homo sapiens	Monomeric polcalcin (Phl p 7) in complex with two identical allergen-specific antibodies	Mitropoulou, A.N., et al. Proc Natl Acad Sci U S A (2018)	0.2008	0.2345	0.1994	P 1 21 1
5OTJ	A	Protein	217	X-ray	2.35	automated matches	NA	EDO (2)	1,2-ETHANEDIOL (2)	Homo sapiens	Monomeric polcalcin (Phl p 7) in complex with two identical allergen-specific antibodies	Mitropoulou, A.N., et al. Proc Natl Acad Sci U S A (2018)	0.2008	0.2345	0.1994	P 1 21 1
5OTJ	L	Protein	217	X-ray	2.35	automated matches	NA	NA	NA	Homo sapiens	Monomeric polcalcin (Phl p 7) in complex with two identical allergen-specific antibodies	Mitropoulou, A.N., et al. Proc Natl Acad Sci U S A (2018)	0.2008	0.2345	0.1994	P 1 21 1
5U3P	L	Protein	214	X-ray	1.5	automated matches	NA	NA	NA	Homo sapiens	Crystal Structure of DH511.4 Fab	Williams, L.D., et al. Sci Immunol (2017)	0.1887	0.2111	0.188	P 1
5U3P	H	Protein	232	X-ray	1.5	automated matches	NA	NA	NA	Homo sapiens	Crystal Structure of DH511.4 Fab	Williams, L.D., et al. Sci Immunol (2017)	0.1887	0.2111	0.188	P 1
5VMM	J	Protein	142	X-ray	3.6	NA	Iron Transport-associated domain (NEAT)	NA	NA	Staphylococcus aureus	Staphylococcus aureus IsdB bound to human hemoglobin	Bowden, C.F.M., et al. J Biological Chem (2018)	0.2556	0.3023	0.2516	P 21 21 2
5VMM	H	Protein	142	X-ray	3.6	NA	Iron Transport-associated domain (NEAT)	NA	NA	Staphylococcus aureus	Staphylococcus aureus IsdB bound to human hemoglobin	Bowden, C.F.M., et al. J Biological Chem (2018)	0.2556	0.3023	0.2516	P 21 21 2
5VMM	F	Protein	336	X-ray	3.6	NA	Iron Transport-associated domain (NEAT)	NA	NA	Staphylococcus aureus	Staphylococcus aureus IsdB bound to human hemoglobin	Bowden, C.F.M., et al. J Biological Chem (2018)	0.2556	0.3023	0.2516	P 21 21 2
5VMM	E	Protein	336	X-ray	3.6	NA	Iron Transport-associated domain (NEAT)	NA	NA	Staphylococcus aureus	Staphylococcus aureus IsdB bound to human hemoglobin	Bowden, C.F.M., et al. J Biological Chem (2018)	0.2556	0.3023	0.2516	P 21 21 2
5VMM	D	Protein	146	X-ray	3.6	NA	Globin (Globin)	NA	NA	Homo sapiens	Staphylococcus aureus IsdB bound to human hemoglobin	Bowden, C.F.M., et al. J Biological Chem (2018)	0.2556	0.3023	0.2516	P 21 21 2
5VMM	B	Protein	146	X-ray	3.6	NA	Globin (Globin)	NA	NA	Homo sapiens	Staphylococcus aureus IsdB bound to human hemoglobin	Bowden, C.F.M., et al. J Biological Chem (2018)	0.2556	0.3023	0.2516	P 21 21 2
5VMM	C	Protein	141	X-ray	3.6	NA	Globin (Globin)	HEM	PROTOPORPHYRIN IX CONTAINING FE	Homo sapiens	Staphylococcus aureus IsdB bound to human hemoglobin	Bowden, C.F.M., et al. J Biological Chem (2018)	0.2556	0.3023	0.2516	P 21 21 2
5VMM	A	Protein	141	X-ray	3.6	NA	Globin (Globin)	HEM	PROTOPORPHYRIN IX CONTAINING FE	Homo sapiens	Staphylococcus aureus IsdB bound to human hemoglobin	Bowden, C.F.M., et al. J Biological Chem (2018)	0.2556	0.3023	0.2516	P 21 21 2
6B0H	C	Protein	214	X-ray	2.7	automated matches	NA	EDO	1,2-ETHANEDIOL	Homo sapiens	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1262	Scally, S.W., et al. Nat Commun (2017)	0.1889	0.2379	0.1864	P 21 21 21
6B0H	A	Protein	214	X-ray	2.7	automated matches	NA	EDO (2)	1,2-ETHANEDIOL (2)	Homo sapiens	Crystal structure of Pfs25 in complex with the transmission blocking antibody 1262	Scally, S.W., et al. Nat Commun (2017)	0.1889	0.2379	0.1864	P 21 21 21
